ano_mes,mes_desc,faixa_etaria,sexo_desc,regiao,escolaridade_desc,total_pessoas,qtd_ficou_em_casa,qtd_reduziu_contato,qtd_vida_normal,qtd_trabalhou,qtd_trabalho_remoto,qtd_sintomatico_trabalhando,pct_ficou_em_casa,pct_reduziu_contato,pct_vida_normal,pct_trabalho_remoto,pct_sintomatico_trabalhando
202011,Novembro/2020,70+,Feminino,Nordeste,Superior incompleto,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Masculino,Nordeste,Pós-graduação,28,0,1,0,9,8,0,0.0,3.57,0.0,88.89,0.0
202011,Novembro/2020,70+,Feminino,Nordeste,Fundamental completo,341,0,1,0,5,4,0,0.0,0.29,0.0,80.0,0.0
202011,Novembro/2020,0-17,Masculino,Norte,Fundamental completo,116,0,0,0,3,1,0,0.0,0.0,0.0,33.33,0.0
202011,Novembro/2020,0-17,Masculino,Norte,Sem instrução,1923,3,6,0,0,0,0,0.16,0.31,0.0,0.0,0.0
202011,Novembro/2020,0-17,Feminino,Norte,Médio completo,34,1,0,0,5,3,0,2.94,0.0,0.0,60.0,0.0
202011,Novembro/2020,0-17,Feminino,Norte,Sem instrução,1767,1,5,0,1,0,0,0.06,0.28,0.0,0.0,0.0
202011,Novembro/2020,0-17,Masculino,Norte,Fundamental incompleto,3895,0,12,0,79,31,0,0.0,0.31,0.0,39.24,0.0
202011,Novembro/2020,0-17,Feminino,Norte,Fundamental incompleto,3697,0,11,0,26,5,0,0.0,0.3,0.0,19.23,0.0
202011,Novembro/2020,0-17,Feminino,Norte,Fundamental completo,110,0,0,0,7,2,0,0.0,0.0,0.0,28.57,0.0
202011,Novembro/2020,0-17,Feminino,Norte,Médio incompleto,927,0,4,0,56,32,4,0.0,0.43,0.0,57.14,0.43
202011,Novembro/2020,0-17,Feminino,Norte,Superior incompleto,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,0-17,Masculino,Norte,Médio completo,36,0,0,0,6,3,0,0.0,0.0,0.0,50.0,0.0
202011,Novembro/2020,0-17,Masculino,Norte,Médio incompleto,824,1,0,0,86,58,1,0.12,0.0,0.0,67.44,0.12
202011,Novembro/2020,0-17,Masculino,Norte,Superior incompleto,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,18-29,Masculino,Norte,Superior completo,316,0,0,0,222,230,4,0.0,0.0,0.0,103.6,1.27
202011,Novembro/2020,18-29,Feminino,Norte,Superior completo,479,1,2,0,247,271,4,0.21,0.42,0.0,109.72,0.84
202011,Novembro/2020,18-29,Feminino,Norte,Fundamental completo,133,1,0,0,26,20,1,0.75,0.0,0.0,76.92,0.75
202011,Novembro/2020,18-29,Feminino,Norte,Sem instrução,25,0,0,0,3,3,0,0.0,0.0,0.0,100.0,0.0
202011,Novembro/2020,18-29,Feminino,Norte,Fundamental incompleto,316,0,3,0,48,34,0,0.0,0.95,0.0,70.83,0.0
202011,Novembro/2020,18-29,Feminino,Norte,Superior incompleto,833,0,3,0,292,285,9,0.0,0.36,0.0,97.6,1.08
202011,Novembro/2020,18-29,Feminino,Norte,Médio incompleto,740,0,4,0,161,131,2,0.0,0.54,0.0,81.37,0.27
202011,Novembro/2020,18-29,Masculino,Norte,Médio completo,1912,0,6,1,1058,997,16,0.0,0.31,0.05,94.23,0.84
202011,Novembro/2020,18-29,Feminino,Norte,Pós-graduação,57,0,1,0,39,42,1,0.0,1.75,0.0,107.69,1.75
202011,Novembro/2020,18-29,Feminino,Norte,Médio completo,1988,0,9,0,615,584,9,0.0,0.45,0.0,94.96,0.45
202011,Novembro/2020,18-29,Masculino,Norte,Pós-graduação,31,0,0,0,27,27,1,0.0,0.0,0.0,100.0,3.23
202011,Novembro/2020,18-29,Masculino,Norte,Superior incompleto,719,0,6,0,313,309,10,0.0,0.83,0.0,98.72,1.39
202011,Novembro/2020,18-29,Masculino,Norte,Médio incompleto,867,0,1,0,426,386,7,0.0,0.12,0.0,90.61,0.81
202011,Novembro/2020,18-29,Masculino,Norte,Fundamental completo,176,0,1,0,100,95,2,0.0,0.57,0.0,95.0,1.14
202011,Novembro/2020,18-29,Masculino,Norte,Sem instrução,43,0,0,0,5,5,0,0.0,0.0,0.0,100.0,0.0
202011,Novembro/2020,18-29,Masculino,Norte,Fundamental incompleto,512,1,1,0,283,236,2,0.2,0.2,0.0,83.39,0.39
202011,Novembro/2020,30-39,Feminino,Norte,Médio completo,1488,0,4,0,666,655,12,0.0,0.27,0.0,98.35,0.81
202011,Novembro/2020,30-39,Masculino,Norte,Pós-graduação,103,0,1,0,89,93,1,0.0,0.97,0.0,104.49,0.97
202011,Novembro/2020,30-39,Masculino,Norte,Médio completo,1384,1,3,1,1013,1022,16,0.07,0.22,0.07,100.89,1.16
202011,Novembro/2020,30-39,Masculino,Norte,Médio incompleto,363,0,0,0,275,266,4,0.0,0.0,0.0,96.73,1.1
202011,Novembro/2020,30-39,Feminino,Norte,Superior completo,699,2,4,1,454,492,11,0.29,0.57,0.14,108.37,1.57
202011,Novembro/2020,30-39,Masculino,Norte,Fundamental completo,228,0,3,0,160,159,5,0.0,1.32,0.0,99.38,2.19
202011,Novembro/2020,30-39,Masculino,Norte,Fundamental incompleto,680,0,0,0,498,477,3,0.0,0.0,0.0,95.78,0.44
202011,Novembro/2020,30-39,Feminino,Norte,Pós-graduação,176,0,4,1,140,148,4,0.0,2.27,0.57,105.71,2.27
202011,Novembro/2020,30-39,Feminino,Norte,Médio incompleto,299,0,2,0,102,104,1,0.0,0.67,0.0,101.96,0.33
202011,Novembro/2020,30-39,Masculino,Norte,Sem instrução,56,0,0,0,23,22,0,0.0,0.0,0.0,95.65,0.0
202011,Novembro/2020,30-39,Feminino,Norte,Sem instrução,49,0,1,0,5,3,0,0.0,2.04,0.0,60.0,0.0
202011,Novembro/2020,30-39,Feminino,Norte,Fundamental completo,200,0,0,0,79,64,0,0.0,0.0,0.0,81.01,0.0
202011,Novembro/2020,30-39,Feminino,Norte,Fundamental incompleto,505,0,2,1,159,125,2,0.0,0.4,0.2,78.62,0.4
202011,Novembro/2020,30-39,Feminino,Norte,Superior incompleto,308,0,3,0,157,170,3,0.0,0.97,0.0,108.28,0.97
202011,Novembro/2020,30-39,Masculino,Norte,Superior completo,452,0,5,0,371,397,7,0.0,1.11,0.0,107.01,1.55
202011,Novembro/2020,30-39,Masculino,Norte,Superior incompleto,205,0,1,0,159,165,5,0.0,0.49,0.0,103.77,2.44
202011,Novembro/2020,40-49,Feminino,Norte,Sem instrução,73,0,0,0,19,16,0,0.0,0.0,0.0,84.21,0.0
202011,Novembro/2020,40-49,Masculino,Norte,Sem instrução,132,0,0,0,77,71,1,0.0,0.0,0.0,92.21,0.76
202011,Novembro/2020,40-49,Feminino,Norte,Médio incompleto,231,0,1,0,102,100,0,0.0,0.43,0.0,98.04,0.0
202011,Novembro/2020,40-49,Masculino,Norte,Superior incompleto,116,0,2,0,89,93,2,0.0,1.72,0.0,104.49,1.72
202011,Novembro/2020,40-49,Masculino,Norte,Fundamental incompleto,936,0,3,0,699,685,6,0.0,0.32,0.0,98.0,0.64
202011,Novembro/2020,40-49,Feminino,Norte,Médio completo,1205,0,7,0,566,575,12,0.0,0.58,0.0,101.59,1.0
202011,Novembro/2020,40-49,Masculino,Norte,Médio completo,983,0,6,0,764,774,15,0.0,0.61,0.0,101.31,1.53
202011,Novembro/2020,40-49,Feminino,Norte,Fundamental completo,240,0,0,0,100,92,2,0.0,0.0,0.0,92.0,0.83
202011,Novembro/2020,40-49,Feminino,Norte,Pós-graduação,193,0,2,0,144,164,1,0.0,1.04,0.0,113.89,0.52
202011,Novembro/2020,40-49,Masculino,Norte,Fundamental completo,246,0,0,0,182,183,4,0.0,0.0,0.0,100.55,1.63
202011,Novembro/2020,40-49,Masculino,Norte,Médio incompleto,236,0,1,0,177,180,3,0.0,0.42,0.0,101.69,1.27
202011,Novembro/2020,40-49,Masculino,Norte,Superior completo,353,0,2,0,308,325,5,0.0,0.57,0.0,105.52,1.42
202011,Novembro/2020,40-49,Feminino,Norte,Superior completo,616,0,2,0,414,456,6,0.0,0.32,0.0,110.14,0.97
202011,Novembro/2020,40-49,Feminino,Norte,Fundamental incompleto,810,0,3,0,288,242,6,0.0,0.37,0.0,84.03,0.74
202011,Novembro/2020,40-49,Feminino,Norte,Superior incompleto,148,0,1,0,73,80,0,0.0,0.68,0.0,109.59,0.0
202011,Novembro/2020,40-49,Masculino,Norte,Pós-graduação,105,0,0,0,92,97,1,0.0,0.0,0.0,105.43,0.95
202011,Novembro/2020,50-59,Masculino,Norte,Fundamental incompleto,956,1,1,0,653,649,10,0.1,0.1,0.0,99.39,1.05
202011,Novembro/2020,50-59,Masculino,Norte,Médio completo,582,1,0,0,387,407,4,0.17,0.0,0.0,105.17,0.69
202011,Novembro/2020,50-59,Feminino,Norte,Superior incompleto,58,0,3,0,27,31,1,0.0,5.17,0.0,114.81,1.72
202011,Novembro/2020,50-59,Masculino,Norte,Fundamental completo,207,0,0,0,133,141,2,0.0,0.0,0.0,106.02,0.97
202011,Novembro/2020,50-59,Feminino,Norte,Pós-graduação,135,1,0,0,79,94,1,0.74,0.0,0.0,118.99,0.74
202011,Novembro/2020,50-59,Masculino,Norte,Superior incompleto,51,0,0,0,31,33,0,0.0,0.0,0.0,106.45,0.0
202011,Novembro/2020,50-59,Masculino,Norte,Pós-graduação,66,0,1,0,58,60,1,0.0,1.52,0.0,103.45,1.52
202011,Novembro/2020,50-59,Masculino,Norte,Médio incompleto,169,0,1,0,108,113,2,0.0,0.59,0.0,104.63,1.18
202011,Novembro/2020,50-59,Feminino,Norte,Superior completo,394,0,4,0,211,254,3,0.0,1.02,0.0,120.38,0.76
202011,Novembro/2020,50-59,Feminino,Norte,Sem instrução,168,0,0,0,33,26,0,0.0,0.0,0.0,78.79,0.0
202011,Novembro/2020,50-59,Feminino,Norte,Médio completo,770,0,5,0,310,339,7,0.0,0.65,0.0,109.35,0.91
202011,Novembro/2020,50-59,Masculino,Norte,Sem instrução,176,0,0,0,98,96,4,0.0,0.0,0.0,97.96,2.27
202011,Novembro/2020,50-59,Feminino,Norte,Fundamental incompleto,881,0,4,0,252,195,4,0.0,0.45,0.0,77.38,0.45
202011,Novembro/2020,50-59,Masculino,Norte,Superior completo,242,0,2,0,169,197,1,0.0,0.83,0.0,116.57,0.41
202011,Novembro/2020,50-59,Feminino,Norte,Médio incompleto,163,0,0,0,54,53,0,0.0,0.0,0.0,98.15,0.0
202011,Novembro/2020,50-59,Feminino,Norte,Fundamental completo,266,0,2,0,81,71,1,0.0,0.75,0.0,87.65,0.38
