ano_mes,mes_desc,faixa_etaria,sexo_desc,cor_raca_desc,escolaridade_desc,total_pessoas,qtd_trabalhou,qtd_trabalho_remoto,qtd_bolsa_familia,qtd_auxilio_emergencial,qtd_sintomaticos,pct_trabalhou,pct_trabalho_remoto,pct_bolsa_familia,pct_auxilio_emergencial,pct_sintomaticos
202011,Novembro/2020,70+,Feminino,Parda,Superior incompleto,34,3,4,2,1,2,8.82,133.33,5.88,2.94,5.88
202011,Novembro/2020,70+,Feminino,Branca,Fundamental incompleto,3961,147,95,116,223,90,3.71,64.63,2.93,5.63,2.27
202011,Novembro/2020,70+,Feminino,Amarela,Médio completo,31,0,0,2,2,0,0.0,0.0,6.45,6.45,0.0
202011,Novembro/2020,70+,Feminino,Indígena,Sem instrução,19,0,0,1,0,0,0.0,0.0,5.26,0.0,0.0
202011,Novembro/2020,70+,Feminino,Preta,Superior completo,37,3,4,1,7,1,8.11,133.33,2.7,18.92,2.7
202011,Novembro/2020,70+,Feminino,Parda,Médio incompleto,114,7,5,4,6,1,6.14,71.43,3.51,5.26,0.88
202011,Novembro/2020,70+,Feminino,Amarela,Médio incompleto,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Feminino,Amarela,Sem instrução,20,1,0,1,2,0,5.0,0.0,5.0,10.0,0.0
202011,Novembro/2020,70+,Feminino,Parda,Superior completo,263,18,19,8,13,5,6.84,105.56,3.04,4.94,1.9
202011,Novembro/2020,70+,Feminino,Parda,Sem instrução,2026,31,10,56,109,64,1.53,32.26,2.76,5.38,3.16
202011,Novembro/2020,70+,Feminino,Preta,Fundamental completo,131,3,3,4,11,3,2.29,100.0,3.05,8.4,2.29
202011,Novembro/2020,70+,Feminino,Indígena,Médio incompleto,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Feminino,Parda,Fundamental completo,600,14,11,20,37,19,2.33,78.57,3.33,6.17,3.17
202011,Novembro/2020,70+,Feminino,Amarela,Superior completo,21,1,2,0,0,0,4.76,200.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Feminino,Amarela,Fundamental completo,17,0,0,1,2,1,0.0,0.0,5.88,11.76,5.88
202011,Novembro/2020,70+,Feminino,Branca,Médio incompleto,236,13,10,9,14,0,5.51,76.92,3.81,5.93,0.0
202011,Novembro/2020,70+,Feminino,Preta,Sem instrução,379,10,5,14,31,9,2.64,50.0,3.69,8.18,2.37
202011,Novembro/2020,70+,Feminino,Preta,Superior incompleto,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Feminino,Ignorado,Fundamental incompleto,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Feminino,Amarela,Superior incompleto,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Masculino,Preta,Pós-graduação,7,1,1,1,2,0,14.29,100.0,14.29,28.57,0.0
202011,Novembro/2020,70+,Masculino,Parda,Fundamental completo,465,49,46,10,32,7,10.54,93.88,2.15,6.88,1.51
202011,Novembro/2020,70+,Masculino,Amarela,Fundamental incompleto,30,1,1,1,0,0,3.33,100.0,3.33,0.0,0.0
202011,Novembro/2020,70+,Masculino,Preta,Superior incompleto,10,0,1,1,1,0,0.0,0.0,10.0,10.0,0.0
202011,Novembro/2020,70+,Masculino,Amarela,Superior completo,29,4,4,0,2,1,13.79,100.0,0.0,6.9,3.45
202011,Novembro/2020,70+,Masculino,Branca,Sem instrução,793,67,40,13,47,19,8.45,59.7,1.64,5.93,2.4
202011,Novembro/2020,70+,Masculino,Parda,Médio completo,486,48,52,12,34,11,9.88,108.33,2.47,7.0,2.26
202011,Novembro/2020,70+,Masculino,Branca,Pós-graduação,145,43,43,5,4,3,29.66,100.0,3.45,2.76,2.07
202011,Novembro/2020,70+,Masculino,Parda,Médio incompleto,119,17,16,4,11,4,14.29,94.12,3.36,9.24,3.36
202011,Novembro/2020,70+,Masculino,Parda,Pós-graduação,32,8,9,0,5,1,25.0,112.5,0.0,15.63,3.13
202011,Novembro/2020,70+,Masculino,Branca,Superior incompleto,112,16,18,2,9,3,14.29,112.5,1.79,8.04,2.68
202011,Novembro/2020,70+,Masculino,Indígena,Médio completo,4,2,2,0,1,0,50.0,100.0,0.0,25.0,0.0
