ano_mes,mes_desc,faixa_etaria,sexo_desc,regiao,total_pessoas,qtd_procurou_saude,qtd_internado,qtd_plano_saude,qtd_sintomaticos,pct_procurou_saude,pct_internado,pct_plano_saude,pct_sintomaticos,taxa_internacao_sintomaticos
202009,Setembro/2020,60-69,Masculino,Sudeste,5749,44,0,149,132,0.77,0.0,2.59,2.3,0.0
202009,Setembro/2020,70+,Feminino,Sudeste,5973,60,4,49,149,1.0,0.07,0.82,2.49,2.68
202009,Setembro/2020,70+,Masculino,Sudeste,4388,49,1,97,111,1.12,0.02,2.21,2.53,0.9
202009,Setembro/2020,0-17,Feminino,Sul,6695,40,0,87,120,0.6,0.0,1.3,1.79,0.0
202009,Setembro/2020,0-17,Masculino,Sul,7068,51,0,89,118,0.72,0.0,1.26,1.67,0.0
202009,Setembro/2020,18-29,Feminino,Sul,4971,55,0,82,123,1.11,0.0,1.65,2.47,0.0
202009,Setembro/2020,18-29,Masculino,Sul,5097,54,0,96,111,1.06,0.0,1.88,2.18,0.0
202009,Setembro/2020,30-39,Feminino,Sul,4868,90,0,95,152,1.85,0.0,1.95,3.12,0.0
202009,Setembro/2020,30-39,Masculino,Sul,4541,48,0,111,129,1.06,0.0,2.44,2.84,0.0
202009,Setembro/2020,40-49,Feminino,Sul,5048,76,0,85,147,1.51,0.0,1.68,2.91,0.0
202009,Setembro/2020,40-49,Masculino,Sul,4500,52,1,116,99,1.16,0.02,2.58,2.2,1.01
202009,Setembro/2020,50-59,Feminino,Sul,5340,82,1,60,154,1.54,0.02,1.12,2.88,0.65
202009,Setembro/2020,50-59,Masculino,Sul,4662,39,0,101,103,0.84,0.0,2.17,2.21,0.0
202009,Setembro/2020,60-69,Feminino,Sul,4113,61,1,45,115,1.48,0.02,1.09,2.8,0.87
202009,Setembro/2020,60-69,Masculino,Sul,3636,27,2,64,96,0.74,0.06,1.76,2.64,2.08
202009,Setembro/2020,70+,Feminino,Sul,3484,59,3,20,111,1.69,0.09,0.57,3.19,2.7
202009,Setembro/2020,70+,Masculino,Sul,2598,25,0,26,68,0.96,0.0,1.0,2.62,0.0
202010,Outubro/2020,0-17,Feminino,Centro-Oeste,4616,37,0,164,68,0.8,0.0,3.55,1.47,0.0
202010,Outubro/2020,0-17,Masculino,Centro-Oeste,4947,32,0,183,82,0.65,0.0,3.7,1.66,0.0
202010,Outubro/2020,18-29,Feminino,Centro-Oeste,3349,49,0,160,100,1.46,0.0,4.78,2.99,0.0
202010,Outubro/2020,18-29,Masculino,Centro-Oeste,3291,32,0,188,57,0.97,0.0,5.71,1.73,0.0
202010,Outubro/2020,30-39,Feminino,Centro-Oeste,3100,52,0,125,85,1.68,0.0,4.03,2.74,0.0
202010,Outubro/2020,30-39,Masculino,Centro-Oeste,2851,29,0,146,52,1.02,0.0,5.12,1.82,0.0
202010,Outubro/2020,40-49,Feminino,Centro-Oeste,3244,55,0,129,103,1.7,0.0,3.98,3.18,0.0
202010,Outubro/2020,40-49,Masculino,Centro-Oeste,2819,34,0,124,54,1.21,0.0,4.4,1.92,0.0
202010,Outubro/2020,50-59,Feminino,Centro-Oeste,3009,36,1,105,80,1.2,0.03,3.49,2.66,1.25
202010,Outubro/2020,50-59,Masculino,Centro-Oeste,2547,19,1,122,46,0.75,0.04,4.79,1.81,2.17
202010,Outubro/2020,60-69,Feminino,Centro-Oeste,2062,34,2,49,66,1.65,0.1,2.38,3.2,3.03
202010,Outubro/2020,60-69,Masculino,Centro-Oeste,1795,14,1,73,41,0.78,0.06,4.07,2.28,2.44
202010,Outubro/2020,70+,Feminino,Centro-Oeste,1535,18,1,31,37,1.17,0.07,2.02,2.41,2.7
202010,Outubro/2020,70+,Masculino,Centro-Oeste,1289,21,1,31,33,1.63,0.08,2.4,2.56,3.03
202010,Outubro/2020,0-17,Feminino,Nordeste,14894,108,1,663,310,0.73,0.01,4.45,2.08,0.32
202010,Outubro/2020,0-17,Masculino,Nordeste,15238,88,1,719,279,0.58,0.01,4.72,1.83,0.36
202010,Outubro/2020,18-29,Feminino,Nordeste,10463,89,0,666,232,0.85,0.0,6.37,2.22,0.0
202010,Outubro/2020,18-29,Masculino,Nordeste,10074,57,0,767,192,0.57,0.0,7.61,1.91,0.0
202010,Outubro/2020,30-39,Feminino,Nordeste,9244,91,0,551,237,0.98,0.0,5.96,2.56,0.0
202010,Outubro/2020,30-39,Masculino,Nordeste,8132,61,1,621,165,0.75,0.01,7.64,2.03,0.61
202010,Outubro/2020,40-49,Feminino,Nordeste,8565,111,2,439,225,1.3,0.02,5.13,2.63,0.89
202010,Outubro/2020,40-49,Masculino,Nordeste,7372,50,0,485,143,0.68,0.0,6.58,1.94,0.0
202010,Outubro/2020,50-59,Feminino,Nordeste,7632,103,0,315,194,1.35,0.0,4.13,2.54,0.0
202010,Outubro/2020,50-59,Masculino,Nordeste,6279,41,0,394,98,0.65,0.0,6.27,1.56,0.0
202010,Outubro/2020,60-69,Feminino,Nordeste,5298,46,2,149,98,0.87,0.04,2.81,1.85,2.04
